"Distrito","Media Preco"
"Manhattan","253.90365794405497"
"Brooklyn","158.81245991019884"
"Staten Island","136.55890410958904"
"Queens","133.32580709051297"
"Bronx","125.63296703296703"
"Greenwich Village","80.0"
" Central""","40.0"
" 2 bed apt""","40.0"
"Z trains)""","40.0"
" transport.""","40.0"
" Rooftop""","40.0"
"  1 stop to City.""","40.0"
" elevator.""","40.0"
" affordable & spacious room""","40.0"
"convenient""","40.0"
