"ID proprietario","Preco Maximo"
"1261480","16500"
"363776653","15000"
"172226912","10000"
"34906299","10000"
"72390391","10000"
"57586379","10000"
"58480311","10000"
"58492449","10000"
"240853514","9999"
"1235070","9999"
